Date,Values_code,Values_Hour01,Values_Hour02,Values_Hour03,Values_Hour04,Values_Hour05,Values_Hour06,Values_Hour07,Values_Hour08,Values_Hour09,Values_Hour10,Values_Hour11,Values_Hour12,Values_Hour13,Values_Hour14,Values_Hour15,Values_Hour16,Values_Hour17,Values_Hour18,Values_Hour19,Values_Hour20,Values_Hour21,Values_Hour22,Values_Hour23,Values_Hour24,Total_Demanda_Dia
2024-01-02,1011,20160.87,19804.46,19791.49,20491.87,21406.32,22484.48,24688.03,26585.07,27747.46,28402.79,29580.03,30273.38,31089.31,31249.51,32231.4,33342.37,33292.81,32013.6,30840.4,30937.99,30363.15,29665.86,29266.55,29028.13,664737.3300000001
2024-01-02,1012,1846.3,1844.45,1839.59,1810.27,1819.6,1829.35,1897.11,2040.47,2106.09,2199.54,2219.69,2043.54,2025.16,2059.26,2065.22,2179.59,2167.55,2054.36,2049.02,2038.12,2146.55,2137.75,2161.47,2320.25,48900.30000000001
2024-01-02,1020,3308.48,3310.17,3241.32,3228.17,3301.02,3639.87,4301.77,4727.75,4826.61,5139.11,5588.32,5329.7,5595.06,5641.23,5673.42,5767.81,5502.59,4844.78,4827.71,4880.68,4788.33,4760.49,4818.39,5031.53,112074.30999999998
2024-01-02,1030,5512.92,5781.07,5901.12,6019.84,6145.54,6322.75,7887.76,9074.33,10192.02,11285.31,12336.33,12956.78,13840.55,14075.5,14111.17,14662.95,15306.59,16717.59,16748.09,16789.19,16770.22,17020.47,16995.55,16697.95,289151.59
2024-01-02,1040,23938.38,24164.56,25520.45,25872.48,27196.1,28653.24,30296.43,31358.12,31451.42,31994.74,33249.46,34904.65,34517.14,33997.93,34521.23,35617.2,35430.98,34565.42,33580.63,33088.3,32526.95,32007.38,31528.62,30861.73,750843.54
2024-01-02,1051,5526.44,5390.93,5364.97,5402.88,5318.06,5453.81,7194.86,11220.89,14043.6,15263.16,16817.95,17072.15,17348.76,17971.83,18049.39,19581.37,19018.22,19320.45,19265.75,20085.9,19635.37,18878.34,18197.01,18023.36,339445.45000000007
2024-01-02,1052,183.17,189.02,192.14,202.4,195.27,192.93,373.65,487.4,638.3,588.82,644.04,686.36,886.17,1109.3,979.57,1258.5,3516.4,1007.65,934.08,968.56,599.87,600.14,556.04,513.43,17503.210000000003
2024-01-02,1061,4159.15,4029.96,4184.63,4194.71,4143.75,4300.64,4421.71,4920.48,5854.43,6350.38,6385.47,6706.47,6755.55,7175.48,7707.3,7869.36,8038.91,7716.3,7391.59,7291.0,7358.92,7184.75,7113.04,7333.54,148587.52000000002
2024-01-02,1062,743.66,714.42,690.28,771.26,756.19,943.36,1645.54,1950.67,2296.09,2514.62,2616.63,2645.57,2484.35,2963.83,3247.18,2864.23,2345.25,1833.1,2097.91,2028.08,2055.45,1819.42,1887.5,1894.46,45809.049999999996
2024-01-02,1063,159.09,156.91,157.92,156.98,155.08,170.84,240.77,534.18,619.44,880.28,929.91,1007.77,934.69,972.31,997.86,989.07,704.45,632.93,641.55,743.14,756.26,772.76,905.06,894.36,15113.61
2024-01-02,1071,7851.31,8952.87,8776.9,8348.72,8816.98,9160.99,10204.27,9690.1,8918.07,9883.45,10797.42,10077.34,10192.03,10839.33,10568.08,10880.69,10265.65,11474.38,12191.41,12458.85,12372.67,12102.16,11456.13,11303.17,247582.97
2024-01-02,1072,74.95,74.98,73.95,74.6,74.76,65.66,106.04,137.08,146.49,162.59,165.98,169.87,151.47,153.45,152.52,147.78,141.68,116.95,140.83,131.2,163.63,405.85,474.44,512.38,4019.1299999999997
2024-01-02,1081,5391.99,5571.61,5755.53,5943.9,6063.76,6556.93,7377.13,8059.68,8307.51,8132.29,8186.71,8365.31,8349.29,8658.58,8385.13,8640.71,8834.0,8730.48,8680.56,8378.7,8179.42,8138.34,8199.21,8127.15,185013.92000000004
2024-01-02,1082,5092.26,5085.59,5182.84,5171.46,5955.74,6652.48,8402.24,8659.58,8438.59,8605.62,9204.46,9635.41,10290.81,9887.91,9927.47,10698.18,12386.69,15587.06,15986.48,15994.45,16771.55,15978.54,15752.91,16034.3,251382.62
2024-01-02,1083,144.07,143.49,145.8,144.19,145.54,141.13,135.05,135.53,170.26,186.63,202.52,201.63,198.46,204.0,192.75,187.37,151.98,141.13,155.22,154.35,155.56,150.8,149.61,149.61,3886.6800000000003
